Timestamp,I think I would like to use this system frequently ,I found the system unnecessarily complex. ,I thought the system was easy to use. ,"
I think I would need technical support to use this system.","
I found the various functions in this system well-integrated.","
I thought there was too much inconsistency in this system.","
I would imagine most people would learn to use this system quickly.","
I found the system very cumbersome to use.","
I felt very confident using the system.","
I needed to learn a lot before I could use this system.",What did you like most about this tool?,What did you dislike most about this tool?,  What is one major improvements would you suggest? ,  Would you recommend this tool to other people? Why or why not?  ,SUS_Score
3/31/2025 22:20,3,3,3,3,3,3,3,3,3,3,Good,,Not bad,Yea,50
3/30/2025 3:24,2,4,2,2,5,2,2,1,5,2,"The system is practical, and I would use it often for reference.",Not sure,Nothing,Yes. The system is practical,62.5
3/31/2025 19:40,2,1,5,1,5,1,5,1,5,1,The interactive models,Nothing,Labels on the models,Yes. Its very educational.,92.5
3/29/2025 12:21,5,1,5,1,4,1,5,1,5,1,Everything,Cant put my finger on it,"Adding a search feature to quickly find specific topics would be helpful.
",Yes. Its really good.,97.5
3/31/2025 3:34,5,1,5,1,5,1,5,1,5,1,,,,,100
3/31/2025 11:45,5,1,5,1,5,1,5,1,5,2,,Is an awesome app,,,97.5
3/31/2025 17:01,4,2,4,2,4,2,4,2,4,2,The 3d models,,,,75
3/31/2025 16:10,5,2,4,1,5,2,4,1,5,1,The fact that i can ask customized questions,,,,90
3/28/2025 12:25,5,1,5,1,5,1,5,1,5,1,The tool is intuitive and user-friendly.,,,,100
3/31/2025 7:39,5,2,4,1,5,2,5,1,5,1,,,The interface could use more interactive features.,,92.5
4/1/2025 5:02,5,1,4,1,5,1,5,1,5,1,The interactive quizzes ,,,,97.5
3/31/2025 10:54,4,1,5,1,5,2,5,2,5,2,,,,"Yes, I would recommend it due to its simplicity and effectiveness in learning about liver cirrhosis.",90
3/29/2025 8:15,5,1,5,1,5,1,5,1,5,1,,,I would like more detailed content on the stages of liver cirrhosis.,,100
3/30/2025 2:41,4,2,5,1,5,1,5,1,5,1,"It’s easy to navigate, with clear instructions.",,,,95
3/31/2025 3:33,3,3,3,3,3,3,3,3,3,3,,,,,50
3/28/2025 16:42,1,3,3,3,1,3,1,3,1,3,,,I would love to see a section on prevention and recovery strategies.,"Yes for techy people, I am not one ",30
3/30/2025 10:52,5,1,4,5,5,1,5,1,5,1,"The layout is clean and well-organized, which makes learning easier.",,,Yes.,87.5
3/30/2025 2:36,5,1,5,1,5,1,5,1,5,1,The tool does a great job at breaking down complex topics into digestible chunks.,,,,100
3/29/2025 10:31,5,1,5,1,5,1,5,1,5,1,,,I think the tool could benefit from more interactive discussion forums or group chats.,,100
3/30/2025 5:51,5,1,5,1,5,1,5,1,5,1,"I loved how the information was broken down into easy-to-digest sections, making it very approachable.",,,,100
3/31/2025 0:31,5,1,5,1,5,1,5,1,5,1,,,,"Yes, because it simplifies complex information in an easy-to-understand way, making it great for anyone wanting to learn about liver cirrhosis.",100
3/30/2025 5:19,5,1,5,1,5,1,5,1,5,1,,,"Including more visual representations of liver anatomy would make the content even clearer.""",,100
4/1/2025 7:34,5,1,5,1,5,1,5,1,5,1,"The tool is very informative and provides a clear understanding of liver cirrhosis, especially for beginners.",,,,100
3/31/2025 9:50,5,1,5,1,5,1,5,1,5,1,,The content is very text-heavy. Adding more videos or interactive features would make it more engaging.,,,100
3/31/2025 11:08,5,2,5,1,5,1,5,1,5,2,,,"I found the navigation a bit repetitive, and it could be streamlined for a smoother experience.",,95
3/29/2025 19:36,4,2,5,1,5,1,5,1,5,1,I liked how well-organized the content was. It allowed me to easily find and understand different aspects of liver cirrhosis,"The lack of multimedia content, such as infographics or animations, made the experience feel a bit dry",I would suggest adding a search function to help users quickly find specific topics within the tool,"Yes, I would recommend it because it's a useful educational resource that simplifies complicated medical topics",95
